fold,level,model,tol,design_column,coefficient,intercept
1,1,M1,1e-10,unit_11,-0.043331363918820066,-7.472283321406615
1,1,M1,1e-10,unit_12,0.01844483400115041,-7.472283321406615
1,1,M1,1e-10,unit_13,-0.24696227576768026,-7.472283321406615
1,1,M1,1e-10,unit_14,0.19610421118312088,-7.472283321406615
1,1,M1,1e-10,unit_15,-0.07657059363261878,-7.472283321406615
1,1,M1,1e-10,unit_16,-0.027806895686410482,-7.472283321406615
1,1,M1,1e-10,unit_2,-0.11750291295432554,-7.472283321406615
1,1,M1,1e-10,unit_3,0.01664945977234867,-7.472283321406615
1,1,M1,1e-10,unit_4,-0.1266397157506109,-7.472283321406615
1,1,M1,1e-10,unit_5,-0.1707000449464239,-7.472283321406615
1,1,M1,1e-10,unit_6,-0.07868524234926252,-7.472283321406615
1,1,M1,1e-10,unit_7,0.21538812658333334,-7.472283321406615
1,1,M1,1e-10,unit_8,0.35498873476318815,-7.472283321406615
1,1,M1,1e-10,unit_9,-0.29425237797815496,-7.472283321406615
1,2,M2,1e-10,sin1,0.04362044261159274,-7.476473351949042
1,2,M2,1e-10,cos1,-0.38171351250806124,-7.476473351949042
1,2,M2,1e-10,sin2,0.08942481624401762,-7.476473351949042
1,2,M2,1e-10,cos2,-0.04103945450046965,-7.476473351949042
1,2,M2,1e-10,sin3,0.021801233769867485,-7.476473351949042
1,2,M2,1e-10,cos3,-0.023741830860463383,-7.476473351949042
1,2,M2,1e-10,tmean_z,-0.1492816384123963,-7.476473351949042
1,2,M2,1e-10,heat_z,0.019549205350911338,-7.476473351949042
1,2,M2,1e-10,cold_z,-0.006241744636966351,-7.476473351949042
1,2,M2,1e-10,precip_z,0.010404201628550788,-7.476473351949042
1,2,M2,1e-10,heavy_precip_z,-0.021031919653449103,-7.476473351949042
1,2,M2,1e-10,dewpoint_depression_z,0.0691050879389804,-7.476473351949042
1,2,M2,1e-10,vulnerability_index_z,0.007939598739118895,-7.476473351949042
1,2,M2,1e-10,mem_heat_h1_z,-0.03582431466557691,-7.476473351949042
1,2,M2,1e-10,mem_heat_h3_z,-0.007761730731876461,-7.476473351949042
1,2,M2,1e-10,mem_heat_h7_z,0.09503203127812523,-7.476473351949042
1,2,M2,1e-10,mem_heat_h14_z,0.1380542960393756,-7.476473351949042
1,2,M2,1e-10,mem_heat_h28_z,-0.29815063378638634,-7.476473351949042
1,2,M2,1e-10,mem_cold_h1_z,-0.02075350843531215,-7.476473351949042
1,2,M2,1e-10,mem_cold_h3_z,-0.014121094320755112,-7.476473351949042
1,2,M2,1e-10,mem_cold_h7_z,0.0051516420385197435,-7.476473351949042
1,2,M2,1e-10,mem_cold_h14_z,0.02741088653027131,-7.476473351949042
1,2,M2,1e-10,mem_cold_h28_z,-0.0701046792780409,-7.476473351949042
1,2,M2,1e-10,mem_precip_h1_z,-0.0125390579264248,-7.476473351949042
1,2,M2,1e-10,mem_precip_h3_z,-0.020593752986168525,-7.476473351949042
1,2,M2,1e-10,mem_precip_h7_z,0.03240964772145696,-7.476473351949042
1,2,M2,1e-10,mem_precip_h14_z,0.04849570211177345,-7.476473351949042
1,2,M2,1e-10,mem_precip_h28_z,0.00510885707567256,-7.476473351949042
1,2,M2,1e-10,mem_heavy_precip_h1_z,0.0013983134515966353,-7.476473351949042
1,2,M2,1e-10,mem_heavy_precip_h3_z,0.008490995239551657,-7.476473351949042
1,2,M2,1e-10,mem_heavy_precip_h7_z,0.04923910285021454,-7.476473351949042
1,2,M2,1e-10,mem_heavy_precip_h14_z,-0.022911312244583787,-7.476473351949042
1,2,M2,1e-10,mem_heavy_precip_h28_z,-0.26114997165293224,-7.476473351949042
1,2,M2,1e-10,dow_1,-0.01755926448272465,-7.476473351949042
1,2,M2,1e-10,dow_2,-0.05479891076012711,-7.476473351949042
1,2,M2,1e-10,dow_3,-0.08610421968833099,-7.476473351949042
1,2,M2,1e-10,dow_4,-0.14178265222913503,-7.476473351949042
1,2,M2,1e-10,dow_5,-0.0162796068209189,-7.476473351949042
1,2,M2,1e-10,dow_6,0.0009493915709468191,-7.476473351949042
1,2,M2,1e-10,unit_10,0.03698291847735774,-7.476473351949042
1,2,M2,1e-10,unit_11,-0.04280179178072058,-7.476473351949042
1,2,M2,1e-10,unit_12,0.0029502423943032754,-7.476473351949042
1,2,M2,1e-10,unit_13,-0.13148689308822958,-7.476473351949042
1,2,M2,1e-10,unit_14,0.2113042196706552,-7.476473351949042
1,2,M2,1e-10,unit_15,-0.10836716698111082,-7.476473351949042
1,2,M2,1e-10,unit_16,0.06915380323002844,-7.476473351949042
1,2,M2,1e-10,unit_2,-0.17180851509669537,-7.476473351949042
1,2,M2,1e-10,unit_3,-0.03355363847971388,-7.476473351949042
1,2,M2,1e-10,unit_4,-0.23596979830189596,-7.476473351949042
1,2,M2,1e-10,unit_5,-0.23229785858613702,-7.476473351949042
1,2,M2,1e-10,unit_6,-0.023590874078361683,-7.476473351949042
1,2,M2,1e-10,unit_7,0.33282567952983927,-7.476473351949042
1,2,M2,1e-10,unit_8,0.39481295385954474,-7.476473351949042
1,2,M2,1e-10,unit_9,-0.2869003286709698,-7.476473351949042
1,3,M3,1e-10,sin1,-0.017028817222370984,-7.4986223430612835
1,3,M3,1e-10,cos1,-0.2160822455417159,-7.4986223430612835
1,3,M3,1e-10,sin2,0.09698270658873902,-7.4986223430612835
1,3,M3,1e-10,cos2,-0.024134074375995133,-7.4986223430612835
1,3,M3,1e-10,sin3,0.0026534035188626507,-7.4986223430612835
1,3,M3,1e-10,cos3,-0.011979867321851044,-7.4986223430612835
1,3,M3,1e-10,tmean_z,-0.01805685538338217,-7.4986223430612835
1,3,M3,1e-10,heat_z,0.0041236130022604236,-7.4986223430612835
1,3,M3,1e-10,cold_z,0.0028928609734948994,-7.4986223430612835
1,3,M3,1e-10,precip_z,-0.00608252528452732,-7.4986223430612835
1,3,M3,1e-10,heavy_precip_z,-0.02131065952126315,-7.4986223430612835
1,3,M3,1e-10,dewpoint_depression_z,0.03230736387655551,-7.4986223430612835
1,3,M3,1e-10,vulnerability_index_z,-0.0004844031314678583,-7.4986223430612835
1,3,M3,1e-10,mem_heat_h1_z,-0.032495731101294015,-7.4986223430612835
1,3,M3,1e-10,mem_heat_h3_z,0.0027530694305006507,-7.4986223430612835
1,3,M3,1e-10,mem_heat_h7_z,0.03659943403877561,-7.4986223430612835
1,3,M3,1e-10,mem_heat_h14_z,0.06374610370731104,-7.4986223430612835
1,3,M3,1e-10,mem_heat_h28_z,-0.1255731886791362,-7.4986223430612835
1,3,M3,1e-10,mem_cold_h1_z,-0.018906054134132655,-7.4986223430612835
1,3,M3,1e-10,mem_cold_h3_z,0.0038862843677625737,-7.4986223430612835
1,3,M3,1e-10,mem_cold_h7_z,-0.008898670836476663,-7.4986223430612835
1,3,M3,1e-10,mem_cold_h14_z,0.008879845452316697,-7.4986223430612835
1,3,M3,1e-10,mem_cold_h28_z,-0.02359327409875058,-7.4986223430612835
1,3,M3,1e-10,mem_precip_h1_z,-0.005441134036730296,-7.4986223430612835
1,3,M3,1e-10,mem_precip_h3_z,0.005730178508258997,-7.4986223430612835
1,3,M3,1e-10,mem_precip_h7_z,0.03324650529308645,-7.4986223430612835
1,3,M3,1e-10,mem_precip_h14_z,0.030423677289364348,-7.4986223430612835
1,3,M3,1e-10,mem_precip_h28_z,0.003385694934747059,-7.4986223430612835
1,3,M3,1e-10,mem_heavy_precip_h1_z,0.005702964347041146,-7.4986223430612835
1,3,M3,1e-10,mem_heavy_precip_h3_z,0.0039784862584548554,-7.4986223430612835
1,3,M3,1e-10,mem_heavy_precip_h7_z,0.007981888002370315,-7.4986223430612835
1,3,M3,1e-10,mem_heavy_precip_h14_z,-0.027541757426463725,-7.4986223430612835
